construct,standard,host,kind,iso_clause,std_ref,arabic,aramaic,assamese,bengali,dari,gujarati,hebrew,hindi,kannada,kashmiri,malayalam,marathi,nepali,odia,pali,pashto,persian,phoenician,prakrit,punjabi,sanskrit,shahmukhi,sindhi,syriac,tamil,telugu,urdu
C_SIG_DFL,SIG_DFL,c,identifier,,ISO/IEC 9899:2011,,,,,,,,संक_पूर्व,,,,,,,,,,,,,,,,,,,
C_SIG_ERR,SIG_ERR,c,identifier,,ISO/IEC 9899:2011,,,,,,,,संक_त्रुटि,,,,,,,,,,,,,,,,,,,
C_SIG_IGN,SIG_IGN,c,identifier,,ISO/IEC 9899:2011,,,,,,,,संक_छोड़ो,,,,,,,,,,,,,,,,,,,
C_TMP_MAX,TMP_MAX,c,identifier,,ISO/IEC 9899:2011,,,,,,,,क्षणिक_उच्च,,,,,,,,,,,,,,,,,,,
C_UCHAR_MAX,UCHAR_MAX,c,identifier,,ISO/IEC 9899:2011,,,,,,,,अच_अक्षर_उच्च,,,,,,,,,,,,,,,,,,,
C_UINT_MAX,UINT_MAX,c,identifier,,ISO/IEC 9899:2011,,,,,,,,अच_पूर्णांक_उच्च,,,,,,,,,,,,,,,,,,,
C_ULONG_MAX,ULONG_MAX,c,identifier,,ISO/IEC 9899:2011,,,,,,,,अच_दीर्घ_उच्च,,,,,,,,,,,,,,,,,,,
C_USHRT_MAX,USHRT_MAX,c,identifier,,ISO/IEC 9899:2011,,,,,,,,अच_लघु_उच्च,,,,,,,,,,,,,,,,,,,
C___DATE__,__DATE__,c,identifier,,ISO/IEC 9899:2011,,,,,,,,__दिन__,,,,,,,,,,,,,,,,,,,
C___FILE__,__FILE__,c,identifier,,ISO/IEC 9899:2011,,,,,,,,__खाता__,,,,,,,,,,,,,,,,,,,
C___LINE__,__LINE__,c,identifier,,ISO/IEC 9899:2011,,,,,,,,__पंक्ति__,,,,,,,,,,,,,,,,,,,
C___STDC__,__STDC__,c,identifier,,ISO/IEC 9899:2011,,,,,,,,__मानक__,,,,,,,,,,,,,,,,,,,
C___TIME__,__TIME__,c,identifier,,ISO/IEC 9899:2011,,,,,,,,__समय__,,,,,,,,,,,,,,,,,,,
C_ABORT,abort,c,identifier,,ISO/IEC 9899:2011,,,,,,,,पात,,,,,,,,,,,,,,,,,,,
C_ABS,abs,c,identifier,,ISO/IEC 9899:2011,,,,,,,,असल,,,,,,,,,,,,,,,,,,,
C_ASCTIME,asctime,c,identifier,,ISO/IEC 9899:2011,,,,,,,,समय_ठीक,,,,,,,,,,,,,,,,,,,
C_ASM,asm,c,identifier,,ISO/IEC 9899:2011,,,,,,,,यंत्र,,,,,,,,,,,,,,,,,,,
C_ASSERT,assert,c,identifier,,ISO/IEC 9899:2011,,,,,,,,निश्चित,,,,,,,,,,,,,,,,,,,یقین
C_ATEXIT,atexit,c,identifier,,ISO/IEC 9899:2011,,,,,,,,निकास_पर,,,,,,,,,,,,,,,,,,,
C_ATOF,atof,c,identifier,,ISO/IEC 9899:2011,,,,,,,,म_से_भ,,,,,,,,,,,,,,,,,,,
C_ATOI,atoi,c,identifier,,ISO/IEC 9899:2011,,,,,,,,म_से_प,,,,,,,,,,,,,,,,,,,
