construct,standard,host,romenagri
C_SIGNED,signed,c,chin_hi_ta
C_SIGPENDING,sigpending,c,sa_mka_baakee
C_SIGSUSPEND,sigsuspend,c,sa_mka_roakoa
C_SIZE_T,size_t,c,maapa_prakaara
C_SIZEOF,sizeof,c,maapa
C_SPRINTF,sprintf,c,pra_likhoa
C_SQRT,sqrt,c,warga_moola
C_SRAND,srand,c,baekrama
C_SSCANF,sscanf,c,maalaa_poochhoa
C_STATIC,static,c,_atala
C_STDERR,stderr,c,maanaka__truti
C_STDIN,stdin,c,maanaka_niwaesha
C_STDOUT,stdout,c,maanaka_nikaasa
C_STRCAT,strcat,c,ma_joa_rdoa
C_STRCHR,strchr,c,ma__akxara
C_STRCMP,strcmp,c,ma_bhae_da
C_STRCPY,strcpy,c,ma_nakala
C_STRCSPN,strcspn,c,ma_khoaja
C_STRERROR,strerror,c,ma__truti
C_STRFTIME,strftime,c,sa_maalaa
C_STRLEN,strlen,c,ma_maapa
C_STRNCAT,strncat,c,ma_joa_rdana
C_STRNCMP,strncmp,c,ma_bhae_dana
C_STRNCPY,strncpy,c,ma_nakalana
C_STRRCHR,strrchr,c,ma_khoajapa
C_STRSPN,strspn,c,ma__akhoaja
C_STRSTR,strstr,c,ma_maalaa
C_STRTOD,strtod,c,ma_sae_bhagna
C_STRTOK,strtok,c,ma_moa_hara
C_STRTOL,strtol,c,ma_sae__deergha
C_STRTOUL,strtoul,c,ma_sae__a_deergha
C_STRUCT,struct,c,kaaxthaa
C_SWITCH,switch,c,chayana
C_SYSTEM,system,c,pra_nnaalee
C_TEMPLATE,template,c,dhaa_nachaa
C_TIME,time,c,samaya
C_TIME_T,time_t,c,samaya_prakaara
C_TIMES,times,c,baara
C_TM,tm,c,pa_mchaa_mga
C_TMPFILE,tmpfile,c,kxa_nnika_kha
C_TMPNAM,tmpnam,c,kxa_nnika
C_TOLOWER,tolower,c,chhoatae
C_TOUPPER,toupper,c,ba_rdae
C_TYPEDEF,typedef,c,prakaara
C_UNGETC,ungetc,c,_akxara_waapasa
C_UNION,union,c,joa_rda
C_UNSIGNED,unsigned,c,_achin_hi_ta
C_VA_ARG,va_arg,c,ba_hu__tarka
C_VA_END,va_end,c,ba_hu_poor_nna
C_VA_START,va_start,c,ba_hu_shuroo
C_VFPRINTF,vfprintf,c,bhakha_likhoa
C_VIRTUAL,virtual,c,bhawa
C_VOID,void,c,wyoama
C_VOLATILE,volatile,c,_as_thira
C_VPRINTF,vprintf,c,bha_likhoa
C_VSPRINTF,vsprintf,c,bhama_likhoa
C_WAIT,wait,c,rukoa
C_WCHAR_T,wchar_t,c,ba__akxara_prakaara
C_WHILE,while,c,jaba_taka
C_WRITE,write,c,ga_likhoa
C_GETTIME,gettime,c,samaya_loa
C_SETTIME,settime,c,samaya_rakhoa
CPP___,|=,cpp,orictxt832
CPP___,||,cpp,orictxt833
CPP__,~,cpp,orictxt835
CPP__,!,cpp,orictxt1
CPP___,!=,cpp,orictxt2
CPP__,#,cpp,orictxt5
CPP___,##,cpp,orictxt6
CPP__,%,cpp,orictxt21
CPP___,%=,cpp,orictxt22
CPP__,&,cpp,orictxt23
CPP___,&&,cpp,orictxt24
CPP___,&=,cpp,orictxt25
CPP__,*,cpp,orictxt26
CPP___,*=,cpp,orictxt27
CPP__,+,cpp,orictxt28
CPP___,++,cpp,orictxt29
CPP___,+=,cpp,orictxt30
CPP__,-,cpp,orictxt31
CPP___,--,cpp,orictxt32
CPP___,-=,cpp,orictxt33
CPP___,->,cpp,orictxt34
CPP____,->*,cpp,orictxt35
CPP__,.,cpp,orictxt36
CPP___,.*,cpp,orictxt37
CPP__,/,cpp,orictxt38
CPP___,/=,cpp,orictxt39
CPP___,::,cpp,orictxt40
CPP__,<,cpp,orictxt41
CPP___,<<,cpp,orictxt42
CPP____,<<=,cpp,orictxt43
CPP__,>,cpp,orictxt44
CPP___,>>,cpp,orictxt45
CPP____,>>=,cpp,orictxt46
CPP___,?:,cpp,orictxt47
CPP_ARG_MAX,ARG_MAX,cpp,orictxt57
CPP_B0,B0,cpp,orictxt58
CPP_B110,B110,cpp,orictxt59
CPP_B1200,B1200,cpp,orictxt60
CPP_B134,B134,cpp,orictxt61
CPP_B150,B150,cpp,orictxt62
CPP_B1800,B1800,cpp,orictxt63
CPP_B19200,B19200,cpp,orictxt64
CPP_B200,B200,cpp,orictxt65
CPP_B2400,B2400,cpp,orictxt66
CPP_B300,B300,cpp,orictxt67
CPP_B38400,B38400,cpp,orictxt68
CPP_B4800,B4800,cpp,orictxt69
CPP_B50,B50,cpp,orictxt70
CPP_B600,B600,cpp,orictxt71
CPP_B75,B75,cpp,orictxt72
CPP_B9600,B9600,cpp,orictxt73
CPP_BRKINT,BRKINT,cpp,orictxt74
CPP_CLOCAL,CLOCAL,cpp,orictxt81
CPP_CLOCKS_PER_SEC,CLOCKS_PER_SEC,cpp,orictxt82
CPP_CREAD,CREAD,cpp,orictxt83
CPP_CS5,CS5,cpp,orictxt84
CPP_CS6,CS6,cpp,orictxt85
CPP_CS7,CS7,cpp,orictxt86
CPP_CS8,CS8,cpp,orictxt87
CPP_CSIZE,CSIZE,cpp,orictxt88
CPP_CSTOPB,CSTOPB,cpp,orictxt89
CPP_DBL_MAX_10_EXP,DBL_MAX_10_EXP,cpp,orictxt94
CPP_DBL_MAX_EXP,DBL_MAX_EXP,cpp,orictxt95
CPP_DBL_MIN_10_EXP,DBL_MIN_10_EXP,cpp,orictxt97
CPP_DBL_MIN_EXP,DBL_MIN_EXP,cpp,orictxt98
CPP_E2BIG,E2BIG,cpp,orictxt100
CPP_EACCESS,EACCESS,cpp,orictxt101
CPP_EAGAIN,EAGAIN,cpp,orictxt102
CPP_EBADF,EBADF,cpp,orictxt103
CPP_EBUSY,EBUSY,cpp,orictxt104
CPP_ECHILD,ECHILD,cpp,orictxt105
CPP_ECHO,ECHO,cpp,orictxt106
CPP_ECHOE,ECHOE,cpp,orictxt107
CPP_ECHOK,ECHOK,cpp,orictxt108
CPP_ECHONL,ECHONL,cpp,orictxt109
CPP_EDEADLK,EDEADLK,cpp,orictxt110
CPP_EEXIST,EEXIST,cpp,orictxt112
CPP_EFAULT,EFAULT,cpp,orictxt113
CPP_EFBIG,EFBIG,cpp,orictxt114
CPP_EINTR,EINTR,cpp,orictxt115
CPP_EINVAL,EINVAL,cpp,orictxt116
CPP_EIO,EIO,cpp,orictxt117
CPP_EISDIR,EISDIR,cpp,orictxt118
CPP_EMFILE,EMFILE,cpp,orictxt119
CPP_EMLINK,EMLINK,cpp,orictxt120
CPP_ENAMETOOLONG,ENAMETOOLONG,cpp,orictxt121
CPP_ENFILE,ENFILE,cpp,orictxt122
CPP_ENODEV,ENODEV,cpp,orictxt123
CPP_ENOENT,ENOENT,cpp,orictxt124
CPP_ENOEXEC,ENOEXEC,cpp,orictxt125
CPP_ENOLCK,ENOLCK,cpp,orictxt126
CPP_ENOMEM,ENOMEM,cpp,orictxt127
CPP_ENOSPC,ENOSPC,cpp,orictxt128
CPP_ENOTDIR,ENOTDIR,cpp,orictxt129
CPP_ENOTEMPTY,ENOTEMPTY,cpp,orictxt130
CPP_ENOTTY,ENOTTY,cpp,orictxt131
CPP_ENXIO,ENXIO,cpp,orictxt132
CPP_EPERM,EPERM,cpp,orictxt134
CPP_EPIPE,EPIPE,cpp,orictxt135
CPP_EROFS,EROFS,cpp,orictxt137
CPP_ESPIPE,ESPIPE,cpp,orictxt138
CPP_ESRCH,ESRCH,cpp,orictxt139
CPP_EXDEV,EXDEV,cpp,orictxt140
CPP_FD_CLOEXEC,FD_CLOEXEC,cpp,orictxt143
CPP_FE_ALL_EXCEPT,FE_ALL_EXCEPT,cpp,orictxt144
CPP_FE_DBLPREC,FE_DBLPREC,cpp,orictxt145
CPP_FE_DIVBYZERO,FE_DIVBYZERO,cpp,orictxt146
CPP_FE_DOWNWARD,FE_DOWNWARD,cpp,orictxt147
CPP_FE_FLTPREC,FE_FLTPREC,cpp,orictxt148
CPP_FE_INEXACT,FE_INEXACT,cpp,orictxt149
CPP_FE_INVALID,FE_INVALID,cpp,orictxt150
CPP_FE_LDBLPREC,FE_LDBLPREC,cpp,orictxt151
CPP_FE_OVERFLOW,FE_OVERFLOW,cpp,orictxt152
CPP_FE_TONEAREST,FE_TONEAREST,cpp,orictxt153
CPP_FE_TOWARDZERO,FE_TOWARDZERO,cpp,orictxt154
CPP_FE_UNDERFLOW,FE_UNDERFLOW,cpp,orictxt155
CPP_FE_UPWARD,FE_UPWARD,cpp,orictxt156
CPP_FLT_MAX_10_EXP,FLT_MAX_10_EXP,cpp,orictxt163
CPP_FLT_MAX_EXP,FLT_MAX_EXP,cpp,orictxt164
CPP_FLT_MIN_10_EXP,FLT_MIN_10_EXP,cpp,orictxt166
CPP_FLT_MIN_EXP,FLT_MIN_EXP,cpp,orictxt167
CPP_FLT_ROUNDS,FLT_ROUNDS,cpp,orictxt169
CPP_FP_INFINITE,FP_INFINITE,cpp,orictxt171
CPP_FP_NANQ,FP_NANQ,cpp,orictxt172
CPP_FP_NANS,FP_NANS,cpp,orictxt173
CPP_FP_NORMAL,FP_NORMAL,cpp,orictxt174
CPP_FP_SUBNORMAL,FP_SUBNORMAL,cpp,orictxt175
CPP_FP_ZERO,FP_ZERO,cpp,orictxt176
CPP_F_DUPFD,F_DUPFD,cpp,orictxt177
