construct,standard,host,arabic,aramaic,assamese,bengali,dari,gujarati,hebrew,hindi,kannada,kashmiri,malayalam,marathi,nepali,odia,pali,pashto,persian,phoenician,prakrit,punjabi,sanskrit,shahmukhi,sindhi,syriac,tamil,telugu,urdu
CPP_LC_COLLATE,LC_COLLATE,cpp,romanised:romenagri,romanised:romenagri,,,romanised:romenagri,,romanised:romenagri,,,,,,,,,romanised:romenagri,romanised:romenagri,romanised:romenagri,,,,romanised:romenagri,,romanised:romenagri,,,romanised:romenagri
CPP_LC_CTYPE,LC_CTYPE,cpp,romanised:romenagri,romanised:romenagri,,,romanised:romenagri,,romanised:romenagri,,,,,,,,,romanised:romenagri,romanised:romenagri,romanised:romenagri,,,,romanised:romenagri,,romanised:romenagri,,,romanised:romenagri
CPP_LC_MONETARY,LC_MONETARY,cpp,romanised:romenagri,romanised:romenagri,,,romanised:romenagri,,romanised:romenagri,,,,,,,,,romanised:romenagri,romanised:romenagri,romanised:romenagri,,,,romanised:romenagri,,romanised:romenagri,,,romanised:romenagri
CPP_LC_NUMERIC,LC_NUMERIC,cpp,romanised:romenagri,romanised:romenagri,,,romanised:romenagri,,romanised:romenagri,,,,,,,,,romanised:romenagri,romanised:romenagri,romanised:romenagri,,,,romanised:romenagri,,romanised:romenagri,,,romanised:romenagri
CPP_LC_TIME,LC_TIME,cpp,romanised:romenagri,romanised:romenagri,,,romanised:romenagri,,romanised:romenagri,,,,,,,,,romanised:romenagri,romanised:romenagri,romanised:romenagri,,,,romanised:romenagri,,romanised:romenagri,,,romanised:romenagri
CPP_LDBL_DIG,LDBL_DIG,cpp,projected:perso-arabic,projected:aramaic,projected:bengali,projected:bengali,projected:perso-arabic,projected:gujarati,projected:hebrew,authored,projected:kannada,projected:sharada,projected:malayalam,projected:devanagari,projected:devanagari,projected:oriya,projected:devanagari,projected:perso-arabic,projected:perso-arabic,projected:phoenician,projected:devanagari,projected:gurmukhi,projected:devanagari,projected:perso-arabic,projected:khudawadi,projected:syriac,projected:tamil,projected:telugu,projected:perso-arabic
CPP_LDBL_EPSILON,LDBL_EPSILON,cpp,projected:perso-arabic,projected:aramaic,projected:bengali,projected:bengali,projected:perso-arabic,projected:gujarati,projected:hebrew,authored,projected:kannada,projected:sharada,projected:malayalam,projected:devanagari,projected:devanagari,projected:oriya,projected:devanagari,projected:perso-arabic,projected:perso-arabic,projected:phoenician,projected:devanagari,projected:gurmukhi,projected:devanagari,projected:perso-arabic,projected:khudawadi,projected:syriac,projected:tamil,projected:telugu,projected:perso-arabic
CPP_LDBL_MANT_DIG,LDBL_MANT_DIG,cpp,projected:perso-arabic,projected:aramaic,projected:bengali,projected:bengali,projected:perso-arabic,projected:gujarati,projected:hebrew,authored,projected:kannada,projected:sharada,projected:malayalam,projected:devanagari,projected:devanagari,projected:oriya,projected:devanagari,projected:perso-arabic,projected:perso-arabic,projected:phoenician,projected:devanagari,projected:gurmukhi,projected:devanagari,projected:perso-arabic,projected:khudawadi,projected:syriac,projected:tamil,projected:telugu,projected:perso-arabic
CPP_LDBL_MAX,LDBL_MAX,cpp,projected:perso-arabic,projected:aramaic,projected:bengali,projected:bengali,projected:perso-arabic,projected:gujarati,projected:hebrew,authored,projected:kannada,projected:sharada,projected:malayalam,projected:devanagari,projected:devanagari,projected:oriya,projected:devanagari,projected:perso-arabic,projected:perso-arabic,projected:phoenician,projected:devanagari,projected:gurmukhi,projected:devanagari,projected:perso-arabic,projected:khudawadi,projected:syriac,projected:tamil,projected:telugu,projected:perso-arabic
CPP_LDBL_MAX_10_EXP,LDBL_MAX_10_EXP,cpp,romanised:romenagri,romanised:romenagri,,,romanised:romenagri,,romanised:romenagri,,,,,,,,,romanised:romenagri,romanised:romenagri,romanised:romenagri,,,,romanised:romenagri,,romanised:romenagri,,,romanised:romenagri
CPP_LDBL_MAX_EXP,LDBL_MAX_EXP,cpp,romanised:romenagri,romanised:romenagri,,,romanised:romenagri,,romanised:romenagri,,,,,,,,,romanised:romenagri,romanised:romenagri,romanised:romenagri,,,,romanised:romenagri,,romanised:romenagri,,,romanised:romenagri
CPP_LDBL_MIN,LDBL_MIN,cpp,projected:perso-arabic,projected:aramaic,projected:bengali,projected:bengali,projected:perso-arabic,projected:gujarati,projected:hebrew,authored,projected:kannada,projected:sharada,projected:malayalam,projected:devanagari,projected:devanagari,projected:oriya,projected:devanagari,projected:perso-arabic,projected:perso-arabic,projected:phoenician,projected:devanagari,projected:gurmukhi,projected:devanagari,projected:perso-arabic,projected:khudawadi,projected:syriac,projected:tamil,projected:telugu,projected:perso-arabic
CPP_LDBL_MIN_10_EXP,LDBL_MIN_10_EXP,cpp,romanised:romenagri,romanised:romenagri,,,romanised:romenagri,,romanised:romenagri,,,,,,,,,romanised:romenagri,romanised:romenagri,romanised:romenagri,,,,romanised:romenagri,,romanised:romenagri,,,romanised:romenagri
CPP_LDBL_MIN_EXP,LDBL_MIN_EXP,cpp,romanised:romenagri,romanised:romenagri,,,romanised:romenagri,,romanised:romenagri,,,,,,,,,romanised:romenagri,romanised:romenagri,romanised:romenagri,,,,romanised:romenagri,,romanised:romenagri,,,romanised:romenagri
CPP_LONG_MAX,LONG_MAX,cpp,projected:perso-arabic,projected:aramaic,projected:bengali,projected:bengali,projected:perso-arabic,projected:gujarati,projected:hebrew,authored,projected:kannada,projected:sharada,projected:malayalam,projected:devanagari,projected:devanagari,projected:oriya,projected:devanagari,projected:perso-arabic,projected:perso-arabic,projected:phoenician,projected:devanagari,projected:gurmukhi,projected:devanagari,projected:perso-arabic,projected:khudawadi,projected:syriac,projected:tamil,projected:telugu,projected:perso-arabic
CPP_LONG_MIN,LONG_MIN,cpp,projected:perso-arabic,projected:aramaic,projected:bengali,projected:bengali,projected:perso-arabic,projected:gujarati,projected:hebrew,authored,projected:kannada,projected:sharada,projected:malayalam,projected:devanagari,projected:devanagari,projected:oriya,projected:devanagari,projected:perso-arabic,projected:perso-arabic,projected:phoenician,projected:devanagari,projected:gurmukhi,projected:devanagari,projected:perso-arabic,projected:khudawadi,projected:syriac,projected:tamil,projected:telugu,projected:perso-arabic
